listing_id,original_file,new_file,original_extension,status,resized,width,height,message
BA_SK_001,data\raw\images\BA_SK_001\BA_SK_001_img_01.jpg,data\raw\images\BA_SK_001\BA_SK_001_img_01.jpg,.jpg,converted,False,990,666,Success
BA_SK_001,data\raw\images\BA_SK_001\BA_SK_001_img_02.jpg,data\raw\images\BA_SK_001\BA_SK_001_img_02.jpg,.jpg,converted,False,1600,1076,Success
BA_SK_001,data\raw\images\BA_SK_001\BA_SK_001_img_03.jpg,data\raw\images\BA_SK_001\BA_SK_001_img_03.jpg,.jpg,converted,False,990,660,Success
BA_SK_001,data\raw\images\BA_SK_001\BA_SK_001_img_04.jpg,data\raw\images\BA_SK_001\BA_SK_001_img_04.jpg,.jpg,converted,False,990,660,Success
BA_SK_001,data\raw\images\BA_SK_001\BA_SK_001_img_05.jpg,data\raw\images\BA_SK_001\BA_SK_001_img_05.jpg,.jpg,converted,False,990,658,Success
BA_SK_001,data\raw\images\BA_SK_001\BA_SK_001_img_06.jpg,data\raw\images\BA_SK_001\BA_SK_001_img_06.jpg,.jpg,converted,False,1600,1200,Success
BA_SK_001,data\raw\images\BA_SK_001\BA_SK_001_img_07.jpg,data\raw\images\BA_SK_001\BA_SK_001_img_07.jpg,.jpg,converted,False,990,657,Success
BA_SK_001,data\raw\images\BA_SK_001\BA_SK_001_img_08.jpg,data\raw\images\BA_SK_001\BA_SK_001_img_08.jpg,.jpg,converted,False,1600,1200,Success
BA_SK_001,data\raw\images\BA_SK_001\BA_SK_001_img_09.jpg,data\raw\images\BA_SK_001\BA_SK_001_img_09.jpg,.jpg,converted,False,990,654,Success
BA_SK_001,data\raw\images\BA_SK_001\BA_SK_001_img_10.jpg,data\raw\images\BA_SK_001\BA_SK_001_img_10.jpg,.jpg,converted,False,990,671,Success
BA_SK_001,data\raw\images\BA_SK_001\BA_SK_001_img_11.jpg,data\raw\images\BA_SK_001\BA_SK_001_img_11.jpg,.jpg,converted,False,1200,1600,Success
BA_SK_001,data\raw\images\BA_SK_001\BA_SK_001_img_12.jpg,data\raw\images\BA_SK_001\BA_SK_001_img_12.jpg,.jpg,converted,False,1600,1200,Success
BA_SK_001,data\raw\images\BA_SK_001\BA_SK_001_img_13.jpg,data\raw\images\BA_SK_001\BA_SK_001_img_13.jpg,.jpg,converted,False,990,665,Success
BA_SK_001,data\raw\images\BA_SK_001\BA_SK_001_img_14.jpg,data\raw\images\BA_SK_001\BA_SK_001_img_14.jpg,.jpg,converted,False,990,681,Success
BA_SK_001,data\raw\images\BA_SK_001\BA_SK_001_img_15.jpg,data\raw\images\BA_SK_001\BA_SK_001_img_15.jpg,.jpg,converted,False,404,555,Success
BA_SK_001,data\raw\images\BA_SK_001\BA_SK_001_img_15.png,data\raw\images\BA_SK_001\BA_SK_001_img_16.jpg,.png,converted,False,404,555,Success
BA_SK_001,data\raw\images\BA_SK_001\BA_SK_001_img_16.jpg,data\raw\images\BA_SK_001\BA_SK_001_img_17.jpg,.jpg,converted,False,404,555,Success
